MOE3.Percentage of unspent funds,com_post_MOPs.Communication System.Time to get info,com_post_MOPs.Computer.Processing time,comms_MOPs.Satellite.Receiving time,comms_MOPs.Satellite.Sending time,target.Distance from base,target.Distance from optimized path start,environment.Precipitation,environment.Wind speed,h.Analysis time,h.Rescue in region time,h.Time to hospital,h.Time to prepare,h.Time to region,laptop.Recognition software 4.Confirmation time,MOE1.Fuel cost improvement rate,MOE2.Time improvement Rate,rescue unit MOPs.Fuel cost,rescue unit MOPs.Time to rescue,search unit MOPs.Fuel cost,search unit MOPs.Time to detect,Total MOPs.Fuel consumption cost,Total MOPs.Mission time,UAV.Conditional cruise speed,UAV.Conditional max speed,UAV.Search time,UAV.Time to prepare,UAV.Time to region,UAV.Camera 4.Transparency,UAV.On-board analysis system 4.Analysis time,UAV.On-board analysis system 4.Image recognition algorithm accuracy,UAV.On-board analysis system 4.Transmission delay,UAV.On-board navigation system 4.Navigation algorithm accuracy
37.5000,0.0288,0.0087,0.0006,0.0009,14.6504,0.9611,0.6126,16.4065,9.7024,0.0281,0.1460,0.0176,0.1460,1.9158,-5.2673,-46.3551,121.0552,0.3378,0.0022,0.3549,121.0574,0.7318,83.5935,83.5935,0.0124,0.0127,0.3298,1.0000,0.4181,0.9932,0.8879,0.9939
37.5000,0.0277,0.0146,0.0007,0.0010,14.7647,3.1121,0.3430,0.4804,9.9775,0.0330,0.1230,0.0182,0.1230,1.7895,10.1027,-24.5594,103.3802,0.2973,0.0017,0.2814,103.3819,0.6228,100.0000,100.0000,0.0321,0.0127,0.2367,1.0000,0.4611,0.9857,1.3303,0.9857
37.5000,0.0326,0.0101,0.0011,0.0007,16.4274,1.2463,0.8007,10.1878,9.0596,0.0205,0.1710,0.0254,0.1710,1.7405,-21.6070,-52.3953,139.8460,0.3878,0.0021,0.3296,139.8481,0.7620,100.0000,100.0000,0.0133,0.0080,0.3083,0.9700,0.4152,0.9924,0.7529,0.9854
37.5000,0.0245,0.0143,0.0008,0.0008,10.4784,5.8475,0.4002,17.9016,9.2734,0.0324,0.1064,0.0329,0.1064,1.7138,21.7891,-3.9039,89.9415,0.2780,0.0010,0.2012,89.9425,0.5195,82.0984,82.0984,0.0720,0.0159,0.1132,1.0000,0.3237,0.9824,0.7392,0.9989
37.5000,0.0179,0.0099,0.0011,0.0011,8.1654,1.1635,0.5748,7.2578,8.9639,0.0311,0.0680,0.0176,0.0680,1.0222,48.6125,24.6505,59.0947,0.1847,0.0010,0.1621,59.0957,0.3767,100.0000,100.0000,0.0122,0.0080,0.1419,1.0000,0.2793,0.9830,0.6759,0.9885
37.5000,0.0260,0.0152,0.0007,0.0009,11.1257,3.6796,0.4165,1.2540,9.0757,0.0329,0.0927,0.0240,0.0927,1.0388,31.2120,3.4001,79.1050,0.2423,0.0011,0.1980,79.1062,0.4830,100.0000,100.0000,0.0375,0.0101,0.1504,1.0000,0.2596,0.9815,1.2582,0.9920
37.5000,0.0319,0.0140,0.0011,0.0011,12.9357,0.5886,0.2482,4.6273,8.8099,0.0216,0.1078,0.0315,0.1078,1.5173,22.1925,-17.7449,89.4770,0.2687,0.0016,0.2720,89.4786,0.5887,100.0000,100.0000,0.0067,0.0157,0.2496,1.0000,0.3107,0.9862,0.9699,0.9904
37.5000,0.0215,0.0094,0.0007,0.0010,13.7429,5.5406,0.7295,1.1719,8.0222,0.0196,0.1570,0.0201,0.1570,1.3353,-11.7735,-24.0184,128.5382,0.3537,0.0013,0.2338,128.5395,0.6201,100.0000,100.0000,0.0561,0.0123,0.1654,0.9700,0.3302,0.9971,0.7814,0.9934
37.5000,0.0320,0.0161,0.0008,0.0009,12.8295,4.7780,0.2909,4.2996,9.9044,0.0231,0.1069,0.0305,0.1069,1.3233,22.6109,-7.5951,88.9962,0.2674,0.0013,0.2208,88.9975,0.5380,100.0000,100.0000,0.0484,0.0090,0.1634,1.0000,0.2515,0.9987,0.5540,0.9872
37.5000,0.0173,0.0123,0.0011,0.0008,16.6046,0.4451,0.4019,11.7994,8.6694,0.0322,0.1384,0.0314,0.1384,1.9217,-0.4622,-42.7207,115.5294,0.3403,0.0022,0.3418,115.5315,0.7136,100.0000,100.0000,0.0054,0.0088,0.3276,1.0000,0.4750,0.9871,0.9605,0.9873
37.5000,0.0222,0.0153,0.0010,0.0009,8.3816,3.0837,0.5307,15.5298,9.4665,0.0315,0.0827,0.0328,0.0827,1.9512,38.3650,10.8144,70.8793,0.2297,0.0010,0.1768,70.8803,0.4459,84.4702,84.4702,0.0373,0.0119,0.1276,1.0000,0.3212,0.9866,0.6251,0.9853
37.5000,0.0286,0.0160,0.0008,0.0007,8.8421,3.4384,0.1626,5.9989,8.2279,0.0230,0.0737,0.0190,0.0737,1.7426,45.7357,20.8735,62.4031,0.1894,0.0009,0.1601,62.4040,0.3956,100.0000,100.0000,0.0351,0.0146,0.1104,1.0000,0.4070,0.9916,0.5306,0.9815
37.5000,0.0329,0.0104,0.0010,0.0006,12.5328,3.7692,0.6628,10.4920,8.5456,0.0233,0.1044,0.0196,0.1044,1.9354,24.3056,-5.0683,87.0472,0.2518,0.0013,0.2287,87.0485,0.5253,100.0000,100.0000,0.0386,0.0123,0.1778,1.0000,0.4165,0.9837,0.8767,0.9874
37.5000,0.0196,0.0140,0.0009,0.0008,12.4036,2.1641,0.1687,16.7941,8.5184,0.0171,0.1242,0.0235,0.1242,1.9925,11.3562,-22.7481,101.9387,0.2890,0.0017,0.2894,101.9404,0.6137,83.2059,83.2059,0.0269,0.0159,0.2466,1.0000,0.3027,0.9826,0.9734,0.9993
37.5000,0.0319,0.0086,0.0011,0.0008,16.8161,4.3089,0.2858,11.1637,8.6979,0.0296,0.1401,0.0214,0.1401,1.9035,-1.3428,-36.2794,116.5423,0.3312,0.0018,0.3078,116.5442,0.6814,100.0000,100.0000,0.0440,0.0085,0.2553,1.0000,0.3873,0.9911,1.0551,0.9804
