MOE3.Percentage of unspent funds,com_post_MOPs.Communication System.Time to get info,com_post_MOPs.Computer.Processing time,comms_MOPs.Satellite.Receiving time,comms_MOPs.Satellite.Sending time,target.Distance from base,target.Distance from optimized path start,environment.Precipitation,environment.Wind speed,h.Analysis time,h.Rescue in region time,h.Time to hospital,h.Time to prepare,h.Time to region,laptop.Recognition software tool.Analysis time,MOE1.Fuel cost improvement rate,MOE2.Time improvement Rate,rescue unit MOPs.Fuel cost,rescue unit MOPs.Time to rescue,search unit MOPs.Fuel cost,search unit MOPs.Time to detect,Total MOPs.Fuel consumption cost,Total MOPs.Mission time,UAV.Conditional cruise speed,UAV.Conditional max speed,UAV.Search time,UAV.Time to prepare,UAV.Time to region,UAV.camera.Transmission delay,UAV.camera.Transparency,UAV.nav.Wireless connection delay rate
50.0000,0.0189,0.0128,0.0010,0.0006,14.7053,2.6205,0.0794,9.0295,8.9923,0.0234,0.1225,0.0261,0.1225,2.5575,11.7020,-21.7641,101.5410,0.2946,0.0017,0.2809,101.5427,0.6088,100.0000,100.0000,0.0271,0.0114,0.2424,0.6648,1.0000,1.2759
50.0000,0.0317,0.0127,0.0009,0.0007,12.6287,1.1036,0.9214,0.3770,9.6160,0.0234,0.1142,0.0323,0.1142,2.7814,17.4953,-21.0241,94.8788,0.2841,0.0017,0.2750,94.8805,0.6051,92.1391,92.1391,0.0130,0.0110,0.2509,0.8902,0.9500,1.2933
50.0000,0.0274,0.0123,0.0009,0.0010,11.1075,3.0233,0.4007,2.3159,9.1638,0.0195,0.0926,0.0199,0.0926,1.7334,33.0603,6.4174,76.9795,0.2246,0.0012,0.2017,76.9806,0.4679,100.0000,100.0000,0.0311,0.0085,0.1621,1.4378,1.0000,0.7021
50.0000,0.0275,0.0085,0.0008,0.0007,13.6585,5.1454,0.9108,8.9120,9.5598,0.0279,0.1250,0.0324,0.1250,1.7263,9.4229,-21.4266,104.1623,0.3102,0.0014,0.2594,104.1637,0.6071,91.0765,91.0765,0.0574,0.0147,0.1874,1.4636,0.9500,0.7643
50.0000,0.0267,0.0134,0.0006,0.0009,10.9954,5.3503,0.3940,4.0528,8.4747,0.0251,0.0916,0.0246,0.0916,1.6500,32.9901,8.7961,77.0604,0.2329,0.0009,0.1815,77.0614,0.4560,100.0000,100.0000,0.0542,0.0137,0.1136,0.8211,1.0000,1.2733
50.0000,0.0274,0.0110,0.0006,0.0007,9.8585,5.6383,0.4109,8.6026,8.0139,0.0223,0.0822,0.0183,0.0822,1.2204,39.9405,20.5558,69.0677,0.2049,0.0008,0.1525,69.0684,0.3972,100.0000,100.0000,0.0570,0.0105,0.0850,0.9265,1.0000,1.0180
50.0000,0.0221,0.0149,0.0006,0.0010,16.2643,1.2498,0.3496,2.9501,9.4578,0.0279,0.1355,0.0330,0.1355,1.7645,2.0721,-39.9901,112.6151,0.3320,0.0020,0.3294,112.6171,0.7000,100.0000,100.0000,0.0132,0.0156,0.3006,0.8372,1.0000,0.6399
50.0000,0.0250,0.0128,0.0007,0.0010,9.7558,4.9939,0.8570,2.2545,8.4905,0.0192,0.0949,0.0254,0.0949,1.3166,31.5079,13.8715,78.7651,0.2342,0.0008,0.1568,78.7659,0.4306,100.0000,100.0000,0.0507,0.0105,0.0957,1.3009,0.9700,0.8074
50.0000,0.0293,0.0126,0.0006,0.0011,9.1367,2.4484,0.0742,10.7320,8.1515,0.0327,0.0761,0.0281,0.0761,1.6171,42.7666,14.6690,65.8175,0.2131,0.0010,0.1700,65.8185,0.4267,100.0000,100.0000,0.0251,0.0105,0.1344,0.5235,1.0000,1.1018
50.0000,0.0326,0.0086,0.0010,0.0006,11.2733,4.0753,0.0140,10.2724,8.0704,0.0263,0.0939,0.0178,0.0939,1.6255,31.2179,5.2314,79.0983,0.2320,0.0011,0.1990,79.0994,0.4738,100.0000,100.0000,0.0416,0.0128,0.1446,1.4858,1.0000,1.2022
50.0000,0.0240,0.0163,0.0006,0.0007,11.9895,0.1295,0.7508,0.9318,8.1978,0.0278,0.1331,0.0325,0.1331,1.1872,3.7967,-23.4107,110.6322,0.3264,0.0016,0.2490,110.6338,0.6171,100.0000,100.0000,0.0018,0.0095,0.2376,0.7123,0.9700,0.7833
50.0000,0.0312,0.0164,0.0008,0.0009,11.6922,5.0763,0.8147,8.7610,9.3201,0.0272,0.1196,0.0329,0.1196,2.2664,13.2519,-8.7648,99.7592,0.2993,0.0011,0.1952,99.7603,0.5438,100.0000,100.0000,0.0516,0.0105,0.1331,0.6707,0.9700,1.4318
50.0000,0.0213,0.0129,0.0010,0.0007,15.5950,2.3473,0.5893,14.7076,8.1500,0.0176,0.1524,0.0254,0.1524,2.1742,-8.2918,-37.8705,124.5337,0.3477,0.0018,0.3057,124.5355,0.6894,100.0000,100.0000,0.0243,0.0159,0.2656,0.6917,1.0000,1.1183
50.0000,0.0327,0.0109,0.0006,0.0007,10.8081,3.3790,0.3532,11.4515,9.9420,0.0180,0.0901,0.0251,0.0901,1.8834,34.9920,7.9248,74.7581,0.2232,0.0011,0.1923,74.7592,0.4604,100.0000,100.0000,0.0345,0.0086,0.1492,0.5831,1.0000,1.1709
50.0000,0.0222,0.0106,0.0010,0.0006,12.2029,0.0155,0.9804,1.8651,9.3234,0.0272,0.1037,0.0248,0.1037,1.8369,24.2905,-11.3417,87.0642,0.2595,0.0016,0.2629,87.0659,0.5567,98.0360,98.0360,0.0009,0.0128,0.2491,0.9114,0.9500,0.8955
50.0000,0.0306,0.0143,0.0006,0.0008,15.3247,5.2241,0.0091,7.9331,9.8158,0.0323,0.1277,0.0302,0.1277,1.4877,6.9411,-25.7574,107.0162,0.3180,0.0015,0.2646,107.0177,0.6288,100.0000,100.0000,0.0528,0.0093,0.2025,0.5526,1.0000,0.8465
50.0000,0.0216,0.0143,0.0008,0.0008,10.3994,5.7899,0.9651,11.8005,8.7494,0.0266,0.0898,0.0275,0.0898,1.7460,34.0687,11.4337,75.8202,0.2336,0.0009,0.1718,75.8210,0.4428,96.5149,96.5149,0.0607,0.0147,0.0963,0.8578,0.9500,1.3537
50.0000,0.0214,0.0164,0.0007,0.0007,11.1293,4.8801,0.9998,6.6302,8.3446,0.0306,0.0928,0.0276,0.0928,2.2231,31.4805,6.2769,78.7964,0.2436,0.0010,0.1858,78.7974,0.4686,99.9775,99.9775,0.0498,0.0104,0.1256,1.0743,0.9500,1.1287
50.0000,0.0309,0.0094,0.0006,0.0010,12.5379,4.2719,0.0532,10.0374,8.9841,0.0176,0.1045,0.0199,0.1045,1.2580,25.0176,-1.1209,86.2285,0.2465,0.0012,0.2172,86.2298,0.5056,100.0000,100.0000,0.0432,0.0083,0.1656,0.6299,1.0000,0.5586
50.0000,0.0212,0.0087,0.0009,0.0007,12.5125,4.7408,0.9759,6.0901,8.9488,0.0256,0.1068,0.0173,0.1068,1.7102,22.3357,-2.2631,89.3128,0.2566,0.0012,0.2233,89.3140,0.5113,97.5895,97.5895,0.0493,0.0140,0.1600,0.7474,0.9500,1.3710
50.0000,0.0283,0.0145,0.0010,0.0006,10.8433,0.7446,0.4393,7.3547,8.9044,0.0173,0.0904,0.0184,0.0904,1.9350,34.8806,3.0691,74.8860,0.2164,0.0014,0.2238,74.8874,0.4847,100.0000,100.0000,0.0084,0.0128,0.2027,1.4663,1.0000,1.2539
50.0000,0.0201,0.0156,0.0010,0.0009,13.2389,3.1397,0.2721,2.6335,9.7914,0.0183,0.1103,0.0304,0.1103,1.4425,20.8649,-10.0235,91.0039,0.2693,0.0014,0.2432,91.0053,0.5501,100.0000,100.0000,0.0321,0.0088,0.2023,1.0016,1.0000,0.6414
